phylum,class,order,family,genus,species,common_name,species_type,dive_location,latitude,longitude,lcode,rw_number,survey_date,drange1,drange2
Echinodermata,Echinoidea,Camarodonta,Echinometridae,Heliocidaris,erythrogramma,Common Sea Urchin,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Acrocarpia,sp.,Acropcarpia,Marine Plants,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,sp.,Sea Lettuce,Marine Plants,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Encrusting,sp.,Encrusting Coralline,Marine Plants,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Rhodophyta,Florideophyceae,Balliales,Balliaceae,Ballia,callitricha,Turfing Red,Marine Plants,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Zonaria,sp.,Turfing Brown,Marine Plants,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Tracheophyta,,Alismatales,Zosteraceae,Zostera,tasmanica,Eel Grass,Marine Plants,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Chordata,Actinopteri,Scorpaeniformes,Platycephalidae,Platycephalus,bassensis,Southern Sand Flathead (aka.Sand Flathead),Fish Species,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Chordata,Actinopteri,Perciformes,Cheilodactylidae,Dactylophora,nigricans,Dusky Morwong,Fish Species,Altona Beach Reef,-37.8735,144.8302,57,129,15/11/2003,0,5
Chordata,Actinopteri,Tetraodontiformes,Diodontidae,Diodon,nichthemerus,Globefish,Fish Species,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Porifera,Demospongiae,Dendroceratida,Darwinellidae,Dendrilla,rosea,Rose Sponge,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Porifera,Demospongiae,Tethyida,Tethyidae,Tethya,bergquistae,Golfball Sponge,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Cnidaria,Anthozoa,Actiniaria,Sagartiidae,Anthothoe,albocincta,Orange and White Striped Anenome (Striped Anemone),Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Mollusca,Gastropoda,,Haliotidae,Haliotis,rubra,Blacklip Abalone,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Mollusca,Bivalvia,Pectinoida,Pectinidae,Pecten,fumatus,Scallop (aka. Commercial Scallop),Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Echinodermata,Asteroidea,Valvatida,Asterinidae,Meridiastra,calcar,Variable Sea Star,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Coscinasterias,muricata,Eleven Armed Sea Star,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Ecklonia,radiata,Common Kelp,Marine Plants,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Acrocarpia,sp.,Acropcarpia,Marine Plants,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,sp.,Ectocarpus,Marine Plants,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,sp.,Sea Lettuce,Marine Plants,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Chlorophyta,Ulvophyceae,Cladophorales,Cladaphoraceae,Cladophora,sp.,Green Filamentous,Marine Plants,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Encrusting,sp.,Encrusting Coralline,Marine Plants,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Rhodophyta,Florideophyceae,Balliales,Balliaceae,Ballia,callitricha,Turfing Red,Marine Plants,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Zonaria,sp.,Turfing Brown,Marine Plants,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Tracheophyta,,Alismatales,Zosteraceae,Zostera,tasmanica,Eel Grass,Marine Plants,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,amurensis,Northern Pacific Seastar,Introduced Pests,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Chordata,Actinopteri,Scorpaeniformes,Platycephalidae,Platycephalus,bassensis,Southern Sand Flathead (aka.Sand Flathead),Fish Species,Altona Beach Reef,-37.8735,144.8302,57,129,17/06/2004,0,5
Echinodermata,Echinoidea,Camarodonta,Echinometridae,Heliocidaris,erythrogramma,Common Sea Urchin,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Chordata,Actinopteri,Tetraodontiformes,Monocanthidae,Scobinichthys,granulatus,Rough Leatherjacket,Fish Species,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Tetractenos,glaber,Smooth Toadfish,Fish Species,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Chordata,Actinopteri,Tetraodontiformes,Diodontidae,Diodon,nichthemerus,Globefish,Fish Species,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Porifera,Demospongiae,Dendroceratida,Darwinellidae,Dendrilla,rosea,Rose Sponge,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Cnidaria,Scyphozoa,Rhizostomeae,Catostylidae,Catostylus,mosaicus,Sea Blubber,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Arthropoda,Malacostraca,Decapoda,Majidae,Naxia,sp.,Decorator Crab,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Mollusca,Gastropoda,,Haliotidae,Haliotis,rubra,Blacklip Abalone,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Echinodermata,Asteroidea,Valvatida,Goniasteridae,Tosia,australis,Biscuit Sea Star (aka. Lesser Biscuit Star),Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Echinodermata,Asteroidea,Valvatida,Goniasteridae,Tosia,magnifica,Greater Biscuit Star,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Echinodermata,Asteroidea,Valvatida,Asterinidae,Meridiastra,gunnii,Purple sea star,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Echinodermata,Asteroidea,Valvatida,Asterinidae,Meridiastra,calcar,Variable Sea Star,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Coscinasterias,muricata,Eleven Armed Sea Star,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Echinodermata,Asteroidea,Valvatida,Asteropseidae,Petricia,vernicina,Velvet Sea Star,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Uniophora,granifera,Knobby Sea Star,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Chordata,Actinopteri,Tetraodontiformes,Monocanthidae,Meuschenia,freycineti,Six Spined Leatherjacket,Fish Species,Altona Beach Reef,-37.8735,144.8302,57,238,5/08/2008,0,5
Chordata,Actinopteri,Tetraodontiformes,Diodontidae,Diodon,nichthemerus,Globefish,Fish Species,Altona Beach Reef,-37.8735,144.8302,57,133,22/05/2010,0,5
Porifera,Demospongiae,Tethyida,Tethyidae,Tethya,bergquistae,Golfball Sponge,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,133,22/05/2010,0,5
Cnidaria,Anthozoa,Actiniaria,Sagartiidae,Anthothoe,albocincta,Orange and White Striped Anenome (Striped Anemone),Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,133,22/05/2010,0,5
Arthropoda,Malacostraca,Decapoda,Majidae,Naxia,sp.,Decorator Crab,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,133,22/05/2010,0,5
Mollusca,Gastropoda,,Haliotidae,Haliotis,rubra,Blacklip Abalone,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,133,22/05/2010,0,5
Mollusca,Gastropoda,,Phasianellidae,Phasianella,australis,Pheasant Snail,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,133,22/05/2010,0,5
Echinodermata,Asteroidea,Valvatida,Goniasteridae,Tosia,australis,Biscuit Sea Star (aka. Lesser Biscuit Star),Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,133,22/05/2010,0,5
Echinodermata,Asteroidea,Valvatida,Asterinidae,Meridiastra,calcar,Variable Sea Star,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,133,22/05/2010,0,5
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Coscinasterias,muricata,Eleven Armed Sea Star,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,133,22/05/2010,0,5
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Uniophora,granifera,Knobby Sea Star,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,133,22/05/2010,0,5
Echinodermata,Echinoidea,Camarodonta,Echinometridae,Heliocidaris,erythrogramma,Common Sea Urchin,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,133,22/05/2010,0,5
Mollusca,Gastropoda,,Turbinidae,Lunella,undulata,Wavy Turbo,Invertebrates,Altona Beach Reef,-37.8735,144.8302,57,133,22/05/2010,0,5
Chordata,Actinopteri,Perciformes,Blenniidae,Parablennius,tasmanianus,Tasmanian Blenny,Fish Species,Altona Beach Reef,-37.8735,144.8302,57,133,22/05/2010,0,5
Chordata,Actinopteri,Tetraodontiformes,Monocanthidae,Brachaluteres,jacksonianus,Pygmy Leatherjacket,Fish Species,Altona Beach Reef,-37.8735,144.8302,57,133,22/05/2010,0,5
Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Tetractenos,glaber,Smooth Toadfish,Fish Species,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Chordata,Actinopteri,Tetraodontiformes,Diodontidae,Diodon,nichthemerus,Globefish,Fish Species,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Porifera,Demospongiae,Dendroceratida,Darwinellidae,Dendrilla,rosea,Rose Sponge,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Porifera,Demospongiae,Tethyida,Tethyidae,Tethya,bergquistae,Golfball Sponge,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Cnidaria,Anthozoa,Actiniaria,Sagartiidae,Anthothoe,albocincta,Orange and White Striped Anenome (Striped Anemone),Invertebrates,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Cnidaria,Scyphozoa,Rhizostomeae,Catostylidae,Catostylus,mosaicus,Sea Blubber,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Annelida,Polychaeta,Sabellida,Sabellidae,Sabellastarte,sp.,Featherduster Worm,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Arthropoda,Malacostraca,Decapoda,Portunidae,Nectocarcinus,integrifrons,Two-tone Swimmer Crab,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Coscinasterias,muricata,Eleven Armed Sea Star,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,sp.,Ectocarpus,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,sp.,Sea Velvet,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,sp.,Sea Lettuce,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Chlorophyta,Ulvophyceae,Cladophorales,Cladaphoraceae,Cladophora,sp.,Green Filamentous,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Rhodophyta,Florideophyceae,Plocamiales,Plocamiaceae,Plocamium,dilatatum,Red Fleshy,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Rhodophyta,Florideophyceae,Balliales,Balliaceae,Ballia,callitricha,Turfing Red,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Zonaria,sp.,Turfing Brown,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,amurensis,Northern Pacific Seastar,Introduced Pests,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,spallanzanii,Mediterranean Fan Worm,Introduced Pests,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Chordata,Actinopteri,Syngnathiformes,Sygnathidae,Hippocampus,abdominalis,Potbelly Seahorse (aka. Big Bellied Seahorse),Fish Species,Altona Pier,-37.8721,144.8301,55,129,28/04/2003,0,5
Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Tetractenos,glaber,Smooth Toadfish,Fish Species,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Chordata,Actinopteri,Tetraodontiformes,Diodontidae,Diodon,nichthemerus,Globefish,Fish Species,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Porifera,Demospongiae,Dendroceratida,Darwinellidae,Dendrilla,rosea,Rose Sponge,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Cnidaria,Anthozoa,Actiniaria,Sagartiidae,Anthothoe,albocincta,Orange and White Striped Anenome (Striped Anemone),Invertebrates,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Cnidaria,Scyphozoa,Rhizostomeae,Catostylidae,Catostylus,mosaicus,Sea Blubber,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Annelida,Polychaeta,Sabellida,Sabellidae,Sabellastarte,sp.,Featherduster Worm,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Arthropoda,Malacostraca,Decapoda,Portunidae,Nectocarcinus,integrifrons,Two-tone Swimmer Crab,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Echinodermata,Asteroidea,Valvatida,Asterinidae,Meridiastra,calcar,Variable Sea Star,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Coscinasterias,muricata,Eleven Armed Sea Star,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Chordata,Ascidiacea,Aplousobranchia,Holozoidae,Sycozoa,cerebriformis,Brain Sea Squirt,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,Ectocarpus,sp.,Ectocarpus,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,sp.,Sea Velvet,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,sp.,Sea Lettuce,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Chlorophyta,Ulvophyceae,Cladophorales,Cladaphoraceae,Cladophora,sp.,Green Filamentous,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Rhodophyta,Florideophyceae,Balliales,Balliaceae,Ballia,callitricha,Turfing Red,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Zonaria,sp.,Turfing Brown,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Chordata,Elasmobranchii,Rajiformes,Rhinobatidae,Trygonorrhina,fasciata,Southern Fidler Ray (aka. Banjo Ray),Fish Species,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,amurensis,Northern Pacific Seastar,Introduced Pests,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,spallanzanii,Mediterranean Fan Worm,Introduced Pests,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Chordata,Actinopteri,Syngnathiformes,Sygnathidae,Hippocampus,abdominalis,Potbelly Seahorse (aka. Big Bellied Seahorse),Fish Species,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Chordata,Actinopteri,Perciformes,Kyphosidae,Tilodon,sexfasciatus,Moonlighter,Fish Species,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Chordata,Actinopteri,Tetraodontiformes,Monocanthidae,Meuschenia,flavolineata,Yellow-striped Leatherjacket,Fish Species,Altona Pier,-37.8721,144.8301,55,129,26/04/2003,0,5
Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Tetractenos,glaber,Smooth Toadfish,Fish Species,Altona Pier,-37.8721,144.8301,55,129,19/04/2003,0,5
Porifera,Demospongiae,Dendroceratida,Darwinellidae,Dendrilla,rosea,Rose Sponge,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,19/04/2003,0,5
Cnidaria,Anthozoa,Actiniaria,Sagartiidae,Anthothoe,albocincta,Orange and White Striped Anenome (Striped Anemone),Invertebrates,Altona Pier,-37.8721,144.8301,55,129,19/04/2003,0,5
Annelida,Polychaeta,Sabellida,Sabellidae,Sabellastarte,sp.,Featherduster Worm,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,19/04/2003,0,5
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Coscinasterias,muricata,Eleven Armed Sea Star,Invertebrates,Altona Pier,-37.8721,144.8301,55,129,19/04/2003,0,5
Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Cystophora,sp.,Cystophora,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,19/04/2003,0,5
Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,sp.,Sea Velvet,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,19/04/2003,0,5
Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,sp.,Sea Lettuce,Marine Plants,Altona Pier,-37.8721,144.8301,55,129,19/04/2003,0,5
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,amurensis,Northern Pacific Seastar,Introduced Pests,Altona Pier,-37.8721,144.8301,55,129,19/04/2003,0,5
Annelida,Polychaeta,Sabellida,Sabellidae,Sabella,spallanzanii,Mediterranean Fan Worm,Introduced Pests,Altona Pier,-37.8721,144.8301,55,129,19/04/2003,0,5
Chordata,Actinopteri,Scorpaeniformes,Platycephalidae,Platycephalus,bassensis,Southern Sand Flathead (aka.Sand Flathead),Fish Species,Altona Pier,-37.8721,144.8301,55,129,19/04/2003,0,5
Chordata,Actinopteri,Perciformes,Kyphosidae,Tilodon,sexfasciatus,Moonlighter,Fish Species,Altona Pier,-37.8721,144.8301,55,129,19/04/2003,0,5
Chordata,Actinopteri,Tetraodontiformes,Monocanthidae,Scobinichthys,granulatus,Rough Leatherjacket,Fish Species,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Porifera,Demospongiae,Dendroceratida,Darwinellidae,Dendrilla,rosea,Rose Sponge,Invertebrates,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Cnidaria,Anthozoa,Alcyonacea,Melithaeidae,Melithaea,sp.,Gorgonian Fan Coral,Invertebrates,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Pleurobrachia,sp.,Comb jellies,Invertebrates,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Mollusca,Cephalopoda,Sepiida,Sepiidae,Sepia,apama,Giant Cuttlefish,Invertebrates,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Echinodermata,Asteroidea,Valvatida,Goniasteridae,Tosia,australis,Biscuit Sea Star (aka. Lesser Biscuit Star),Invertebrates,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Coscinasterias,muricata,Eleven Armed Sea Star,Invertebrates,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Echinodermata,Asteroidea,Valvatida,Goniasteridae,Nectria,macrobrachia,Bright Granulated Sea Star(Concave-plate Sea Star),Invertebrates,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Plectaster,decanus,Mosaic Sea Star,Invertebrates,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Chordata,Elasmobranchii,Orectolobiformes,Parascyllidae,Parascyllium,variolatum,Varied Carpet Shark (aka. Varied Catshark),Fish Species,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Echinodermata,Crinoidea,Comatulida,Comatulidae,Cenolia,trichoptera,Orange Feather Star,Invertebrates,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Echinodermata,Echinoidea,Camarodonta,Echinometridae,Heliocidaris,erythrogramma,Common Sea Urchin,Invertebrates,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Herdmania,momus,Red-throat Sea Squirt,Invertebrates,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Clavelina,cylindrica,Blue Grape Sea Squirt,Invertebrates,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Ecklonia,radiata,Common Kelp,Marine Plants,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Ochrophyta,Phaeophyceae,Fucales,Durvillaeaceae,Durvillaea,potatorum,Bull Kelp,Marine Plants,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,sp.,Sargassum,Marine Plants,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Amphiroa,anceps,Branching Coralline,Marine Plants,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Encrusting,sp.,Encrusting Coralline,Marine Plants,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Rhodophyta,Florideophyceae,Balliales,Balliaceae,Ballia,callitricha,Turfing Red,Marine Plants,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Zonaria,sp.,Turfing Brown,Marine Plants,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Tracheophyta,,Alismatales,Zosteraceae,Zostera,tasmanica,Eel Grass,Marine Plants,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Chordata,Actinopteri,Perciformes,Serranidae,Caesioperca,rasor,Barber Perch,Fish Species,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Chordata,Actinopteri,Perciformes,Serranidae,Caeisoperca,lepidoptera,Butterfly Perch,Fish Species,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Chordata,Actinopteri,Perciformes,Plesiopidae,Paraplesiops,meleagris,Southern Blue Devil (aka. Blue Devil),Fish Species,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
Chordata,Actinopteri,Perciformes,Plesiopidae,Trachinops,caudimaculatus,Southern Hulafish,Fish Species,"Anchor Reef, Nuns Beach",-38.341,141.6113,59,19,16/05/2004,10,20
